Time,analogValue1,analogValue2
����4294967292,525,500
4294966240,534,517
4294965212,521,517
4294964180,518,514
4294963148,515,512
4294962116,509,507
4294961084,507,504
4294960052,496,496
4294959020,492,491
4294957988,495,491
4294956956,490,489
4294955924,493,488
4294954892,484,482
4294953860,473,473
4294952828,483,478
4294951796,493,485
4294950764,501,494
4294949732,510,503
4294948700,511,506
4294947668,522,515
4294946636,535,527
4294945604,539,532
4294944572,536,532
4294943540,534,531
4294942508,530,528
4294941476,518,518
4294940444,498,502
4294939412,490,493
4294938380,490,491
4294937348,494,491
4294936316,486,486
4294935284,481,481
4294934252,488,484
4294933220,491,487
4294932188,496,491
4294931156,495,492
4294930124,507,500
4294929092,506,504
4294928060,518,512
4294927028,528,522
4294925996,540,534
4294924964,549,541
4294923932,554,546
4294922900,545,542
4294921868,535,535
4294920836,522,524
4294919804,507,510
4294918772,504,505
4294917740,494,496
4294916708,497,495
4294915676,493,493
4294914644,495,493
4294913612,493,491
4294912580,491,490
4294911548,496,493
4294910516,503,500
4294909484,516,511
4294908452,525,519
4294907420,534,528
4294906388,543,535
4294905356,540,536
4294904324,540,536
4294903292,538,536
4294902260,530,526
4294901228,516,515
4294900196,506,506
4294899164,508,507
4294898132,515,512
4294897100,519,515
4294896068,513,509
4294895036,500,500
4294894004,498,498
4294892972,498,496
4294891940,494,492
4294890908,501,497
4294889876,503,499
4294888844,503,500
4294887812,512,507
4294886780,521,516
4294885748,520,515
4294884716,510,509
4294883684,501,503
4294882652,497,497
4294881620,486,486
4294880588,475,477
4294879556,476,475
4294878524,478,476
4294877492,483,480
4294876460,487,482
4294875428,481,477
4294874396,480,476
4294873364,487,482
4294872332,484,481
4294871300,487,483
4294870268,496,490
4294869236,500,493
4294868204,509,502
4294867172,516,508
4294866144,516,511
4294865120,516,514
4294864096,518,515
4294863076,507,507
4294862048,486,489
4294861024,477,479
4294860000,477,477
4294858976,485,482
4294857952,486,482
4294856928,490,487
4294855904,493,490
4294854880,495,490
4294853856,494,491
4294852832,495,492
4294851808,491,487
4294850784,493,490
4294849760,497,492
4294848736,505,500
4294847712,520,512
4294846688,520,516
4294845664,524,518
4294844640,517,516
4294843616,511,510
4294842592,501,501
4294841568,494,496
4294840544,486,486
4294839524,479,480
4294838496,483,480
4294837476,493,488
4294836448,494,490
4294835424,486,486
4294834404,484,482
4294833380,480,481
4294832352,493,488
4294831328,496,492
4294830304,505,498
4294829280,510,506
4294828256,521,515
4294827232,532,525
4294826208,538,529
4294825184,547,539
4294824160,544,538
4294823136,537,536
4294822112,526,526
4294821088,513,515
4294820064,496,500
4294819044,503,501
4294818016,505,503
4294816992,502,499
4294815968,494,494
4294814944,495,493
4294813920,492,491
4294812896,493,492
4294811876,501,497
